"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Clubex9 Restaurant"|"1000"|"Chinese,North Indian,Mughlai"|"Delhi NCR"|"Karkardooma"|"https://www.zomato.com/ncr/clubex9-restaurant-karkardooma-new-delhi/info"|"876"|"Casual Dining"|"11am to 12midnight(Mon-Sun)"|"Average"|"3.1"|"12"
"Cake2you"|"400"|"Bakery,Desserts"|"Delhi NCR"|"Sector 31-- Gurgaon"|"https://www.zomato.com/ncr/cake2you-sector-31-gurgaon/info"|"876"|"Bakery"|"10am to 8pm(Mon-Sun)"|"Average"|"3.1"|"8"
"Treat Party"|"400"|"Pizza,Fast Food"|"Delhi NCR"|"Pratap Vihar"|"https://www.zomato.com/ncr/treat-party-pratap-vihar-ghaziabad/info"|"876"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"9"
"Cafe Up In"|"600"|"Cafe"|"Delhi NCR"|"Lajpat Nagar 4"|"https://www.zomato.com/ncr/cafe-up-in-lajpat-nagar-4-new-delhi/info"|"876"|"Café"|"10am to 11pm(Mon-Sun)"|"Average"|"2.8"|"19"
"Piyu's Kitchen"|"800"|"North Indian,Chinese"|"Delhi NCR"|"Rajinder Nagar"|"https://www.zomato.com/ncr/piyus-kitchen-rajinder-nagar-new-delhi/info"|"876"|"Quick Bites"|"2pm to 11pm(Mon,Wed,Thu,Fri,Sat,Sun),Closed..."|"Average"|"3.3"|"28"
"Royal Delicacies Food"|"600"|"North Indian,Mughlai,Chinese"|"Delhi NCR"|"Sector 19-- Dwarka"|"https://www.zomato.com/ncr/royal-delicacies-food-sector-19-dwarka-new-delhi/info"|"876"|"Quick Bites"|"1130am to 11pm(Mon-Sun)"|"Average"|"3.3"|"36"
"The Wok"|"300"|"Chinese"|"Delhi NCR"|"Sector 4-- Gurgaon"|"https://www.zomato.com/ncr/the-wok-sector-4-gurgaon/info"|"876"|"none"|"945am to 950pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bhukkhadkhana - The Kitchen of the Weekend Nawab"|"600"|"Awadhi"|"Delhi NCR"|"Vasant Kunj"|"https://www.zomato.com/ncr/bhukkhadkhana-the-kitchen-of-the-weekend-nawab-vasant-kunj-new-delhi/info"|"876"|"none"|"Closed(Mon-Fri),8am to 10am,12noon to 3pm,7pm..."|"Average"|"3.3"|"13"
"Mahi Rasoi"|"400"|"North Indian,South Indian,Fast Food"|"Delhi NCR"|"Majnu ka Tila"|"https://www.zomato.com/ncr/mahi-rasoi-majnu-ka-tila-new-delhi/info"|"876"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"TBH – To Be Healthy"|"500"|"Juices,Healthy Food"|"Delhi NCR"|"Sector 10-- Noida"|"https://www.zomato.com/ncr/tbh-to-be-healthy-sector-10-noida/info"|"876"|"none"|"9am to 6pm(Mon-Sun)"|"Good"|"3.9"|"89"
"Flavours Of Biryani"|"400"|"Biryani,Mughlai"|"Delhi NCR"|"Kirti Nagar"|"https://www.zomato.com/ncr/flavours-of-biryani-kirti-nagar-new-delhi/info"|"876"|"none"|"12noon to 4pm,7pm to 1030pm(Mon,Wed,Thu,Fri..."|"Average"|"3.3"|"42"
"Rosarté Chocolate"|"200"|"Desserts"|"Delhi NCR"|"Shanti Niketan Marg"|"https://www.zomato.com/ncr/rosarté-chocolate-shanti-niketan-marg-new-delhi/info"|"876"|"Dessert Parlor"|"10am to 10pm(Mon-Sun)"|"Good"|"3.6"|"24"
"Cafe CoffeeCo"|"350"|"Cafe"|"Delhi NCR"|"Paharganj"|"https://www.zomato.com/ncr/cafe-coffeeco-paharganj-new-delhi/info"|"876"|"Café"|"930am to 930pm(Mon-Sat),Closed(Sun)"|"Good"|"3.6"|"48"
"Shudh Amritsari Naan"|"200"|"North Indian"|"Delhi NCR"|"Vasundhara"|"https://www.zomato.com/ncr/shudh-amritsari-naan-vasundhara-ghaziabad/info"|"876"|"Dhaba"|"10am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Chinese Special"|"200"|"Chinese"|"Delhi NCR"|"Sushant Lok"|"https://www.zomato.com/ncr/chinese-cook-house-sushant-lok-gurgaon/info"|"876"|"none"|"10am to 11pm(Mon-Sun)"|"Average"|"3.0"|"5"
